ticket_id,created_at,resolved_at,priority,category,agent_id,resolution_hours,sla_limit_hours,sla_breach,reopened,csat_score
INC-00072,2025-03-31 09:04:00,2025-04-01 15:22:15.453114,P3-Medium,Access Management,AGT-00001,30.3,24,True,False,3
INC-00073,2025-01-06 14:15:00,2025-01-08 15:32:00.525184,P4-Low,Email/Comm,AGT-00002,49.28,72,False,False,4
INC-00074,2025-04-05 08:38:00,2025-04-06 15:09:01.737287,P3-Medium,Hardware,AGT-00008,30.52,24,True,False,3
INC-00075,2025-05-29 02:19:00,2025-05-29 02:49:00.000000,P4-Low,Network,AGT-00003,0.5,72,False,False,5
INC-00076,2025-06-01 15:40:00,2025-06-02 16:14:30.792126,P3-Medium,Email/Comm,AGT-00002,24.58,24,True,False,3
INC-00077,2025-05-25 17:22:00,2025-05-26 12:03:46.955565,P3-Medium,Software,AGT-00010,18.7,24,False,False,4
INC-00078,2025-04-18 17:06:00,2025-04-18 22:33:12.507384,P2-High,Software,AGT-00001,5.45,8,False,False,4
INC-00079,2025-02-15 16:41:00,2025-02-17 20:31:06.775911,P4-Low,Software,AGT-00002,51.84,72,False,False,5
INC-00080,2025-06-01 09:54:00,2025-06-01 11:59:58.015259,P3-Medium,Software,AGT-00005,2.1,24,False,False,5
INC-00081,2025-05-26 14:24:00,2025-05-27 06:38:33.449630,P3-Medium,Software,AGT-00009,16.24,24,False,False,4
INC-00082,2025-03-08 10:56:00,2025-03-09 07:47:24.842060,P3-Medium,Software,AGT-00004,20.86,24,False,False,5
INC-00083,2025-03-03 15:31:00,2025-03-04 21:20:23.348489,P3-Medium,Software,AGT-00002,29.82,24,True,False,1
INC-00084,2025-01-05 07:14:00,2025-01-05 21:05:13.817714,P3-Medium,Access Management,AGT-00005,13.85,24,False,False,3
INC-00085,2025-03-30 11:47:00,2025-03-30 23:18:55.384237,P3-Medium,Software,AGT-00006,11.53,24,False,False,4
INC-00086,2025-02-19 10:47:00,2025-02-20 00:46:09.397145,P3-Medium,Hardware,AGT-00002,13.99,24,False,False,5
INC-00087,2025-05-31 22:33:00,2025-06-01 08:15:14.066683,P2-High,Hardware,AGT-00005,9.7,8,True,False,5
INC-00088,2025-03-19 00:34:00,2025-03-21 09:08:30.079895,P4-Low,Hardware,AGT-00004,56.58,72,False,False,1
INC-00089,2025-06-13 18:31:00,2025-06-13 23:09:45.021433,P2-High,Hardware,AGT-00014,4.65,8,False,False,1
INC-00090,2025-01-14 09:55:00,2025-01-15 08:01:22.102074,P3-Medium,Software,AGT-00003,22.11,24,False,False,5
INC-00091,2025-01-14 08:51:00,2025-01-15 03:37:35.833421,P3-Medium,Network,AGT-00007,18.78,24,False,False,3
INC-00092,2025-06-05 14:39:00,2025-06-08 12:01:22.439318,P4-Low,Network,AGT-00009,69.37,72,False,False,4
INC-00093,2025-04-20 10:39:00,2025-04-20 23:02:00.870896,P3-Medium,Software,AGT-00012,12.38,24,False,False,5
INC-00094,2025-03-09 14:10:00,2025-03-09 19:31:11.456953,P2-High,Access Management,AGT-00007,5.35,8,False,False,4
INC-00095,2025-05-01 10:14:00,2025-05-01 15:21:39.437271,P2-High,Software,AGT-00008,5.13,8,False,False,3
INC-00096,2025-03-09 17:40:00,2025-03-10 14:23:46.923734,P4-Low,Network,AGT-00003,20.73,72,False,False,5
INC-00097,2025-02-08 19:52:00,2025-02-09 03:24:11.115491,P2-High,Network,AGT-00002,7.54,8,False,False,2
INC-00098,2025-03-15 12:29:00,2025-03-17 19:42:15.979597,P4-Low,Software,AGT-00011,55.22,72,False,False,4
INC-00099,2025-01-21 14:56:00,2025-01-23 17:02:08.168878,P4-Low,Software,AGT-00005,50.1,72,False,False,3
INC-00100,2025-05-28 13:01:00,2025-05-29 05:08:23.890559,P3-Medium,Network,AGT-00015,16.12,24,False,False,4
INC-00101,2025-05-01 13:28:00,2025-05-01 20:08:37.322629,P3-Medium,Network,AGT-00009,6.68,24,False,False,3
INC-00102,2025-01-24 12:26:00,2025-01-25 03:04:05.414704,P3-Medium,Software,AGT-00005,14.63,24,False,False,4
INC-00103,2025-03-15 15:25:00,2025-03-17 10:33:44.554810,P4-Low,Hardware,AGT-00008,43.15,72,False,False,4
INC-00104,2025-04-14 18:52:00,2025-04-15 06:26:54.414646,P3-Medium,Hardware,AGT-00003,11.58,24,False,False,4
INC-00105,2025-04-03 14:31:00,2025-04-04 07:13:34.971504,P3-Medium,Software,AGT-00002,16.71,24,False,False,5
INC-00106,2025-04-23 19:31:00,2025-04-24 03:25:51.040796,P2-High,Software,AGT-00014,7.91,8,False,False,5
INC-00107,2025-05-22 00:26:00,2025-05-23 09:31:22.153955,P3-Medium,Hardware,AGT-00002,33.09,24,True,False,5
INC-00108,2025-02-09 12:45:00,2025-02-11 18:14:29.602524,P4-Low,Software,AGT-00002,53.49,72,False,False,5
INC-00109,2025-04-27 13:24:00,2025-04-28 09:27:37.451253,P3-Medium,Software,AGT-00005,20.06,24,False,False,4
INC-00110,2025-04-17 10:50:00,2025-04-18 04:14:15.957626,P3-Medium,Network,AGT-00001,17.4,24,False,False,5
INC-00111,2025-06-18 12:09:00,2025-06-18 14:47:59.388999,P3-Medium,Hardware,AGT-00007,2.65,24,False,False,4
INC-00112,2025-03-24 18:44:00,2025-03-25 12:31:16.400387,P3-Medium,Access Management,AGT-00004,17.79,24,False,False,4
INC-00113,2025-05-02 15:51:00,2025-05-04 19:03:16.575116,P4-Low,Software,AGT-00003,51.2,72,False,False,5
INC-00114,2025-01-10 08:37:00,2025-01-14 11:52:53.432099,P4-Low,Software,AGT-00002,99.26,72,True,False,1
INC-00115,2025-01-04 15:26:00,2025-01-06 13:35:10.010536,P4-Low,Network,AGT-00013,46.15,72,False,False,5
INC-00116,2025-06-09 15:41:00,2025-06-09 23:14:19.496513,P2-High,Access Management,AGT-00003,7.56,8,False,False,3
INC-00117,2025-06-10 15:48:00,2025-06-11 09:31:20.301032,P3-Medium,Software,AGT-00014,17.72,24,False,False,4
INC-00118,2025-03-15 23:47:00,2025-03-16 08:26:02.072517,P3-Medium,Hardware,AGT-00008,8.65,24,False,False,5
INC-00119,2025-02-12 15:57:00,2025-02-15 16:48:23.242645,P4-Low,Access Management,AGT-00001,72.86,72,True,True,2
INC-00120,2025-03-04 13:36:00,2025-03-04 22:43:54.356212,P2-High,Software,AGT-00005,9.13,8,True,False,1
INC-00121,2025-06-24 09:58:00,2025-06-24 19:14:07.002533,P2-High,Software,AGT-00004,9.27,8,True,False,1
INC-00122,2025-04-30 19:43:00,2025-05-01 06:26:29.641302,P3-Medium,Software,AGT-00008,10.72,24,False,False,2
INC-00123,2025-04-19 15:29:00,2025-04-22 21:32:21.190387,P4-Low,Email/Comm,AGT-00003,78.06,72,True,False,1
INC-00124,2025-05-27 11:18:00,2025-05-27 18:05:06.689392,P3-Medium,Software,AGT-00003,6.79,24,False,False,3
INC-00125,2025-05-25 18:49:00,2025-05-28 08:33:13.710754,P4-Low,Software,AGT-00003,61.74,72,False,False,1
INC-00126,2025-03-15 16:14:00,2025-03-17 03:45:25.122023,P3-Medium,Software,AGT-00013,35.52,24,True,False,2
INC-00127,2025-06-18 15:08:00,2025-06-19 01:12:32.553836,P3-Medium,Software,AGT-00008,10.08,24,False,False,5
INC-00128,2025-05-29 11:08:00,2025-05-30 00:36:10.625387,P3-Medium,Hardware,AGT-00005,13.47,24,False,False,3
INC-00129,2025-05-19 18:23:00,2025-05-20 13:10:49.959315,P3-Medium,Network,AGT-00002,18.8,24,False,False,5
INC-00130,2025-05-04 22:18:00,2025-05-06 14:13:49.752904,P4-Low,Hardware,AGT-00011,39.93,72,False,False,3
INC-00131,2025-02-27 18:46:00,2025-02-27 19:50:21.640769,P2-High,Email/Comm,AGT-00002,1.07,8,False,False,4
INC-00132,2025-04-12 00:34:00,2025-04-14 03:56:16.534186,P4-Low,Software,AGT-00001,51.37,72,False,False,4
INC-00133,2025-06-13 21:06:00,2025-06-14 06:36:05.653045,P3-Medium,Hardware,AGT-00004,9.5,24,False,False,4
INC-00134,2025-06-06 09:04:00,2025-06-07 06:51:19.462002,P3-Medium,Email/Comm,AGT-00003,21.79,24,False,False,4
INC-00135,2025-01-12 21:19:00,2025-01-13 07:57:40.582054,P3-Medium,Software,AGT-00002,10.64,24,False,False,2
INC-00136,2025-04-05 15:47:00,2025-04-06 03:42:29.173503,P2-High,Software,AGT-00004,11.92,8,True,False,2
INC-00137,2025-06-17 07:31:00,2025-06-17 19:15:02.305181,P3-Medium,Access Management,AGT-00013,11.73,24,False,False,5
INC-00138,2025-04-24 21:54:00,2025-04-25 13:19:24.628333,P3-Medium,Software,AGT-00002,15.42,24,False,False,5
INC-00139,2025-01-16 11:12:00,2025-01-17 11:42:29.295860,P3-Medium,Email/Comm,AGT-00007,24.51,24,True,False,4
INC-00140,2025-06-13 14:01:00,2025-06-14 15:23:57.769217,P4-Low,Network,AGT-00002,25.38,72,False,False,3
INC-00141,2025-05-22 09:13:00,2025-05-24 15:45:57.115291,P4-Low,Access Management,AGT-00002,54.55,72,False,False,3
INC-00142,2025-03-12 18:09:00,2025-03-15 22:17:34.278308,P4-Low,Access Management,AGT-00007,76.14,72,True,False,2
INC-00143,2025-02-03 01:50:00,2025-02-03 19:41:01.207112,P4-Low,Network,AGT-00012,17.85,72,False,False,4
INC-00144,2025-04-18 13:47:00,2025-04-18 17:09:09.363781,P1-Critical,Hardware,AGT-00002,3.37,4,False,False,4
INC-00145,2025-02-26 21:02:00,2025-02-27 17:06:44.624474,P3-Medium,Software,AGT-00005,20.08,24,False,False,5
INC-00146,2025-01-08 06:30:00,2025-01-09 06:45:16.498707,P3-Medium,Hardware,AGT-00007,24.25,24,True,False,2
INC-00147,2025-01-21 10:09:00,2025-01-21 12:19:14.421043,P2-High,Access Management,AGT-00005,2.17,8,False,False,3
INC-00148,2025-06-02 13:29:00,2025-06-02 20:55:10.849543,P3-Medium,Software,AGT-00003,7.44,24,False,False,4
INC-00149,2025-05-22 15:13:00,2025-05-25 03:39:19.792724,P4-Low,Network,AGT-00008,60.44,72,False,False,5
INC-00150,2025-01-25 10:20:00,2025-01-26 06:42:33.158589,P3-Medium,Access Management,AGT-00004,20.38,24,False,False,4
INC-00151,2025-01-22 07:06:00,2025-01-22 14:28:36.209914,P2-High,Email/Comm,AGT-00001,7.38,8,False,False,4
INC-00152,2025-05-24 10:07:00,2025-05-24 17:49:45.247440,P2-High,Network,AGT-00014,7.71,8,False,False,5
INC-00153,2025-01-14 22:38:00,2025-01-16 11:01:58.220046,P4-Low,Software,AGT-00013,36.4,72,False,False,2
INC-00154,2025-01-28 10:35:00,2025-01-29 06:26:28.906478,P3-Medium,Network,AGT-00005,19.86,24,False,False,5
INC-00155,2025-06-09 14:41:00,2025-06-10 11:01:40.487231,P3-Medium,Access Management,AGT-00011,20.34,24,False,False,4
INC-00156,2025-03-11 15:19:00,2025-03-12 03:36:06.679161,P3-Medium,Software,AGT-00001,12.29,24,False,False,4
INC-00157,2025-01-18 08:40:00,2025-01-18 21:41:48.758840,P2-High,Network,AGT-00008,13.03,8,True,False,1
INC-00158,2025-02-10 11:46:00,2025-02-11 09:33:26.388122,P3-Medium,Software,AGT-00005,21.79,24,False,False,5
INC-00159,2025-06-08 06:05:00,2025-06-08 14:33:10.459281,P3-Medium,Access Management,AGT-00002,8.47,24,False,False,4
INC-00160,2025-05-12 07:27:00,2025-05-13 06:42:08.743929,P3-Medium,Software,AGT-00003,23.25,24,False,False,4
INC-00161,2025-02-26 11:38:00,2025-02-26 21:50:09.167897,P3-Medium,Software,AGT-00003,10.2,24,False,False,3
INC-00162,2025-03-16 10:00:00,2025-03-19 03:44:30.091469,P4-Low,Access Management,AGT-00009,65.74,72,False,False,4
INC-00163,2025-05-24 17:51:00,2025-05-25 04:24:18.304295,P2-High,Software,AGT-00002,10.56,8,True,False,2
INC-00164,2025-01-20 18:36:00,2025-01-21 06:02:04.349231,P3-Medium,Software,AGT-00005,11.43,24,False,False,4
INC-00165,2025-03-25 08:39:00,2025-03-26 10:21:25.232522,P3-Medium,Hardware,AGT-00004,25.71,24,True,False,3
INC-00166,2025-04-22 13:33:00,2025-04-23 10:51:08.090696,P3-Medium,Software,AGT-00001,21.3,24,False,False,5
INC-00167,2025-01-20 13:07:00,2025-01-21 13:41:35.332608,P3-Medium,Hardware,AGT-00010,24.58,24,True,False,1
INC-00168,2025-06-15 17:15:00,2025-06-19 09:11:09.094751,P4-Low,Software,AGT-00014,87.94,72,True,False,2
INC-00169,2025-01-20 08:49:00,2025-01-20 14:27:28.109738,P2-High,Network,AGT-00009,5.64,8,False,False,4
INC-00170,2025-05-25 14:39:00,2025-05-26 02:37:12.398467,P3-Medium,Software,AGT-00008,11.97,24,False,False,5
INC-00171,2025-06-11 10:17:00,2025-06-11 21:10:01.984427,P3-Medium,Software,AGT-00005,10.88,24,False,False,4
INC-00172,2025-04-05 17:04:00,2025-04-05 20:42:40.790409,P2-High,Software,AGT-00001,3.64,8,False,False,5
INC-00173,2025-05-29 13:50:00,2025-05-29 20:03:48.518461,P2-High,Software,AGT-00004,6.23,8,False,False,1
INC-00174,2025-06-04 12:09:00,2025-06-06 20:58:22.942187,P4-Low,Software,AGT-00002,56.82,72,False,False,4
INC-00175,2025-01-22 12:11:00,2025-01-24 19:43:01.737552,P4-Low,Access Management,AGT-00015,55.53,72,False,True,5
INC-00176,2025-04-04 11:18:00,2025-04-07 05:50:37.193931,P4-Low,Software,AGT-00007,66.54,72,False,False,5
INC-00177,2025-03-27 06:06:00,2025-03-28 00:12:14.454486,P3-Medium,Network,AGT-00007,18.1,24,False,False,4
INC-00178,2025-06-04 18:21:00,2025-06-05 23:58:41.781422,P3-Medium,Access Management,AGT-00015,29.63,24,True,False,3
INC-00179,2025-06-19 11:38:00,2025-06-21 08:20:24.708007,P4-Low,Hardware,AGT-00008,44.71,72,False,False,2
INC-00180,2025-02-02 15:53:00,2025-02-04 07:38:40.871998,P3-Medium,Software,AGT-00003,39.76,24,True,False,5
INC-00181,2025-05-11 11:23:00,2025-05-14 01:53:48.049039,P4-Low,Network,AGT-00008,62.51,72,False,False,5
INC-00182,2025-02-05 08:18:00,2025-02-05 19:26:33.862375,P3-Medium,Access Management,AGT-00002,11.14,24,False,False,2
INC-00183,2025-01-10 15:56:00,2025-01-11 20:30:55.740140,P4-Low,Access Management,AGT-00012,28.58,72,False,False,2
INC-00184,2025-06-09 17:10:00,2025-06-10 15:01:35.205559,P3-Medium,Network,AGT-00011,21.86,24,False,False,1
INC-00185,2025-06-06 10:47:00,2025-06-07 02:59:44.271783,P3-Medium,Access Management,AGT-00015,16.21,24,False,False,3
INC-00186,2025-02-19 11:36:00,2025-02-19 20:35:56.406226,P2-High,Email/Comm,AGT-00010,9.0,8,True,False,2
INC-00187,2025-02-11 17:51:00,2025-02-12 15:38:09.243588,P3-Medium,Software,AGT-00006,21.79,24,False,False,5
INC-00188,2025-01-27 15:33:00,2025-01-27 21:47:42.355701,P2-High,Software,AGT-00004,6.25,8,False,False,3
INC-00189,2025-02-07 17:05:00,2025-02-09 02:08:50.852299,P4-Low,Hardware,AGT-00013,33.06,72,False,False,3
INC-00190,2025-01-14 11:23:00,2025-01-14 17:15:52.399929,P3-Medium,Hardware,AGT-00001,5.88,24,False,False,5
INC-00191,2025-06-16 10:09:00,2025-06-17 00:34:40.369380,P3-Medium,Network,AGT-00014,14.43,24,False,False,3
INC-00192,2025-06-30 12:39:00,2025-07-03 07:46:40.713191,P4-Low,Software,AGT-00002,67.13,72,False,True,2
INC-00193,2025-06-05 13:07:00,2025-06-06 08:49:45.899831,P3-Medium,Access Management,AGT-00006,19.71,24,False,False,3
INC-00194,2025-06-09 12:07:00,2025-06-09 14:15:23.691388,P2-High,Hardware,AGT-00007,2.14,8,False,False,4
INC-00195,2025-02-06 10:00:00,2025-02-07 05:23:07.610665,P3-Medium,Software,AGT-00006,19.39,24,False,False,3
INC-00196,2025-04-03 06:33:00,2025-04-04 03:37:57.140536,P3-Medium,Software,AGT-00001,21.08,24,False,False,5
INC-00197,2025-01-12 14:23:00,2025-01-13 01:18:44.905837,P3-Medium,Network,AGT-00012,10.93,24,False,False,1
INC-00198,2025-06-10 07:37:00,2025-06-12 12:41:28.207628,P4-Low,Hardware,AGT-00009,53.07,72,False,False,3
INC-00199,2025-02-14 17:43:00,2025-02-14 20:49:59.102773,P1-Critical,Software,AGT-00011,3.12,4,False,False,4
INC-00200,2025-04-28 04:12:00,2025-04-28 13:03:22.455422,P3-Medium,Access Management,AGT-00001,8.86,24,False,True,3
INC-00201,2025-05-20 12:02:00,2025-05-20 15:44:56.068995,P1-Critical,Email/Comm,AGT-00006,3.72,4,False,False,3
INC-00202,2025-03-26 10:51:00,2025-03-27 09:20:10.594359,P3-Medium,Access Management,AGT-00012,22.49,24,False,False,5
INC-00203,2025-02-17 12:31:00,2025-02-18 15:10:51.875803,P3-Medium,Access Management,AGT-00004,26.66,24,True,False,3
INC-00204,2025-04-21 14:52:00,2025-04-22 17:17:49.499099,P3-Medium,Network,AGT-00005,26.43,24,True,False,2
INC-00205,2025-04-25 14:27:00,2025-04-25 16:07:41.365964,P2-High,Hardware,AGT-00003,1.68,8,False,False,4
INC-00206,2025-06-07 23:17:00,2025-06-08 09:46:50.638850,P3-Medium,Access Management,AGT-00013,10.5,24,False,False,5
INC-00207,2025-05-12 17:43:00,2025-05-13 02:01:09.444367,P2-High,Software,AGT-00004,8.3,8,True,False,1
INC-00208,2025-02-02 06:49:00,2025-02-04 19:05:32.588466,P4-Low,Software,AGT-00005,60.28,72,False,False,4
INC-00209,2025-04-26 21:23:00,2025-04-29 09:41:03.433414,P4-Low,Network,AGT-00002,60.3,72,False,False,2
INC-00210,2025-03-13 09:07:00,2025-03-14 05:06:04.416782,P2-High,Software,AGT-00003,19.98,8,True,True,1
INC-00211,2025-03-08 15:13:00,2025-03-09 13:47:01.646708,P3-Medium,Email/Comm,AGT-00002,22.57,24,False,False,3
INC-00212,2025-01-19 12:57:00,2025-01-22 13:39:40.726093,P4-Low,Software,AGT-00002,72.71,72,True,False,5
INC-00213,2025-06-20 10:04:00,2025-06-23 07:08:48.126972,P4-Low,Email/Comm,AGT-00015,69.08,72,False,False,3
INC-00214,2025-06-29 14:50:00,2025-06-30 14:02:40.068038,P3-Medium,Network,AGT-00008,23.21,24,False,False,3
INC-00215,2025-05-07 02:35:00,2025-05-08 22:16:40.614386,P4-Low,Access Management,AGT-00003,43.69,72,False,False,4
